,date,rank,country,ct,points,previousPoints,flag
106,1992-12-31T00:00:00,108,Indonesia,IDN,9,,https://api.fifa.com/api/v1/picture/flags-sq-4/idn
107,1992-12-31T00:00:00,109,Antigua and Barbuda,ATG,8,,https://api.fifa.com/api/v1/picture/flags-sq-4/atg
108,1992-12-31T00:00:00,110,Jordan,JOR,8,,https://api.fifa.com/api/v1/picture/flags-sq-4/jor
109,1992-12-31T00:00:00,111,Sudan,SDN,7,,https://api.fifa.com/api/v1/picture/flags-sq-4/sdn
110,1992-12-31T00:00:00,112,Mauritius,MRI,7,,https://api.fifa.com/api/v1/picture/flags-sq-4/mri
111,1992-12-31T00:00:00,113,Croatia,CRO,7,,https://api.fifa.com/api/v1/picture/flags-sq-4/cro
112,1992-12-31T00:00:00,114,Barbados,BRB,7,,https://api.fifa.com/api/v1/picture/flags-sq-4/brb
113,1992-12-31T00:00:00,115,Yemen,YEM,6,,https://api.fifa.com/api/v1/picture/flags-sq-4/yem
114,1992-12-31T00:00:00,116,Oman,OMA,6,,https://api.fifa.com/api/v1/picture/flags-sq-4/oma
115,1992-12-31T00:00:00,117,Guinea-Bissau,GNB,6,,https://api.fifa.com/api/v1/picture/flags-sq-4/gnb
116,1992-12-31T00:00:00,118,St. Lucia,LCA,6,,https://api.fifa.com/api/v1/picture/flags-sq-4/lca
117,1992-12-31T00:00:00,119,Hong Kong,HKG,5,,https://api.fifa.com/api/v1/picture/flags-sq-4/hkg
118,1992-12-31T00:00:00,120,Panama,PAN,5,,https://api.fifa.com/api/v1/picture/flags-sq-4/pan
119,1992-12-31T00:00:00,121,Grenada,GRN,5,,https://api.fifa.com/api/v1/picture/flags-sq-4/grn
120,1992-12-31T00:00:00,122,Puerto Rico,PUR,5,,https://api.fifa.com/api/v1/picture/flags-sq-4/pur
121,1992-12-31T00:00:00,123,Tahiti,TAH,5,,https://api.fifa.com/api/v1/picture/flags-sq-4/tah
122,1992-12-31T00:00:00,124,South Africa,RSA,5,,https://api.fifa.com/api/v1/picture/flags-sq-4/rsa
123,1992-12-31T00:00:00,125,Venezuela,VEN,5,,https://api.fifa.com/api/v1/picture/flags-sq-4/ven
124,1992-12-31T00:00:00,126,San Marino,SMR,4,,https://api.fifa.com/api/v1/picture/flags-sq-4/smr
125,1992-12-31T00:00:00,127,Benin,BEN,4,,https://api.fifa.com/api/v1/picture/flags-sq-4/ben
